Register number,Full Name,Father’s Name,Mother’s Name,Email,Phone Number,Date Of Birth,Gender,Aadhar,Batch Year,Degree,Current Status,Company Name,Designation,PG College,Skills,Reviews,LinkedIn Profile,Age,Username,Password
212BTBY00717,Kiaan Dhillon,Zayan Biswas,Yasti Bath,user717_adya24@example.com,3306410060,2004-08-08,Male,562614421020,2013,Bachelor of Technology,Consultant,Date-Bahl,"Engineer, electronics",Not Applicable,"Data Analysis, Java, Graphic Design",Good research facility and very supportive staff.,https://linkedin.com/in/user_9057078,22,,
231BTBY00718,Meghana Jhaveri,Sarthak Shan,Zarna Dutta,user718_wsathe@example.org,9316987589,1996-04-23,Other,363407128018,2022,Bachelor of Science,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Cybersecurity, Digital Marketing, Spectroscopic Analysis",Highly engaging academic environment but could be more modern.,https://linkedin.com/in/user_7331239,30,,
221BBAB00719,Bhavika Narayan,Upkaar Bora,Vrishti Karpe,user719_buchlekha@example.net,5366138897,2003-02-01,Other,759457608263,2016,Bachelor of Computer Applications,Apprenticeship,"Biswas, Mane and Trivedi",Child psychotherapist,Not Applicable,"Spectroscopic Analysis, Power BI, Cloud Computing",Good curriculum overall a wonderful journey.,https://linkedin.com/in/user_4957616,23,,
211BBAB00720,Onveer Dubey,Simon Nadig,Barkha Borah,user720_champakgarg@example.org,8393820339,1997-03-26,Male,395704711011,2013,Bachelor of Technology,Apprenticeship,Rajagopal and Sons,"Designer, blown glass/stained glass",Not Applicable,"Agile Methodologies, Cloud Computing, Data Analysis",Thorough peer group making it worth the time.,https://linkedin.com/in/user_7866945,29,,
222JPY00721,Samaksh Karpe,Udarsh Sankar,Xalak More,user721_owensarna@example.org,7909548115,1998-08-25,Other,491011031085,2019,Bachelor of Business Administration,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Project Management, Spectroscopic Analysis, Cloud Computing",Highly engaging research facility with lots of opportunities.,https://linkedin.com/in/user_2383242,28,,
221SW00722,Elijah Das,Viraj Zachariah,Ojasvi Nath,user722_oviya96@example.net,4564353469,1991-03-20,Other,003662641597,2018,Bachelor of Engineering,Employed Full-Time,"Vala, Tripathi and Contractor","Surveyor, planning and development",Not Applicable,"Project Management, Graphic Design, Organic Synthesis",Good hands-on training and very supportive staff.,https://linkedin.com/in/user_3429856,35,,
221BBAA00723,Xavier Nath,Dalbir Trivedi,Warhi Talwar,user723_dhawannisha@example.com,1511050813,2002-03-06,Female,024391099058,2013,Bachelor of Architecture,Freelancing,Self,Freelancing,Not Applicable,"Blockchain, Java, Agile Methodologies",Excellent campus life and a great place to grow.,https://linkedin.com/in/user_8769058,24,,
222BCAA00724,Kashvi Sachdeva,Jagat Goda,Priya Sibal,user724_ayaan49@example.com,8030775770,1990-05-01,Male,997518176157,2017,Master of Science,Teaching Assistant,"Sankaran, Jain and Ahluwalia",Chief Technology Officer,Not Applicable,"Wet-Lab Techniques, Graphic Design, Machine Learning",Decent campus life with lots of opportunities.,https://linkedin.com/in/user_3775072,36,,
211PM00725,Advay Mitter,Sai Mukhopadhyay,Aarini Vora,user725_nihal22@example.net,8340907995,1999-11-19,Male,821659073748,2013,Master of Computer Applications,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Lala, Tella and Thaker University","Cloud Computing, SQL, Agile Methodologies",Thorough learning experience though it was quite rigorous.,https://linkedin.com/in/user_8647808,27,,
221BCAA00726,Lucky Manda,Chaitanya Oommen,Advika Setty,user726_ihayer@example.net,8330219152,1994-01-09,Male,277024844560,2022,Bachelor of Technology,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Rajagopal, Mitra and Zachariah University","Python, Financial Modeling, C++",Amazing curriculum but could be more modern.,https://linkedin.com/in/user_5177756,32,,
232SW00727,Wakeeta Keer,Lohit Mandal,Ubika Walla,user727_isaac40@example.net,6400608362,2002-08-26,Male,548531568041,2025,Bachelor of Science,Preparing for Competitive Exams,Not Applicable,Student / Scholar,Dube Ltd University,"SQL, Java, Financial Modeling",Excellent campus life with excellent industry exposure.,https://linkedin.com/in/user_6943284,24,,
211BCMB00728,Rachita Tank,Samuel Swamy,Vrinda Kade,user728_mitali21@example.org,5409542918,1993-09-07,Other,989425967027,2025,Bachelor of Business Administration,Teaching Assistant,Krish and Sons,"Administrator, Civil Service",Not Applicable,"Wet-Lab Techniques, Quality Assurance, Spectroscopic Analysis",Great academic environment which helped my career immensely.,https://linkedin.com/in/user_0638111,33,,
222BBASF00729,Krisha Chawla,Nihal Muni,Jyoti Ganesh,user729_psagar@example.net,4359570154,1992-01-25,Female,882090806149,2025,Master of Arts,Teaching Assistant,Contractor-Joshi,Field trials officer,Not Applicable,"SQL, Graphic Design, Cloud Computing",Amazing peer group and very supportive staff.,https://linkedin.com/in/user_7214259,34,,
211BPS00730,Vanya Natt,Devansh Rau,Ishita Nayar,user730_chadfaris@example.org,4478035352,1997-04-06,Male,074773649569,2021,Master of Business Administration,Apprenticeship,Barman Ltd,Archaeologist,Not Applicable,"Agile Methodologies, Wet-Lab Techniques, C++",Excellent research facility but could be more modern.,https://linkedin.com/in/user_0312578,29,,
231BBAA00731,Tara Choudhry,Ayush Brahmbhatt,Eta Krishnan,user731_rajabachittar@example.com,5151867148,1996-03-17,Male,098326136997,2025,Master of Computer Applications,Self-Employed,Self,Self-Employed,Not Applicable,"Agile Methodologies, Data Analysis, Financial Modeling",Excellent hands-on training with lots of opportunities.,https://linkedin.com/in/user_1829656,30,,
222BBAA00732,Henry Barad,Abhiram Soni,Lajita Rajagopal,user732_ojasvi91@example.net,5015939338,1994-01-27,Female,522870224554,2024,Master of Science,Internship,Mitra and Sons,Fine artist,Not Applicable,"Project Management, Cybersecurity, Communication",Great peer group with excellent industry exposure.,https://linkedin.com/in/user_4866732,32,,
231BCADA00733,Charan Gour,Zayyan Ghosh,Zinal Reddy,user733_srinivasanneha@example.com,0094562157,1993-11-15,Female,881007725884,2020,Bachelor of Laws,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Raju, Varughese and Dua University","Sales, Search Engine Optimization, Wet-Lab Techniques",Highly engaging learning experience and very supportive staff.,https://linkedin.com/in/user_9643986,33,,
212JPY00734,Veer Hayre,Ryan Sandhu,Kritika Vasa,user734_wyatt08@example.net,4763942097,1994-12-22,Other,319470071361,2017,Bachelor of Computer Applications,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Java, Graphic Design, Marketing",Decent infrastructure overall a wonderful journey.,https://linkedin.com/in/user_6861919,32,,
231SW00735,Darsh Sule,Imaran Babu,Yochana Aggarwal,user735_keermadhavi@example.net,8319846883,1994-10-08,Female,401601362278,2025,Bachelor of Fine Arts,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Goswami, Thaker and Mammen University","Cybersecurity, Quality Assurance, Power BI",Highly engaging faculty support with lots of opportunities.,https://linkedin.com/in/user_5724324,32,,
222BTBY00736,Bahadurjit More,Yagnesh Bahri,Mugdha Boase,user736_nehadevan@example.net,1694021260,2004-10-12,Male,486765205720,2025,Master of Science,Self-Employed,Self,Self-Employed,Not Applicable,"SQL, Sales, Wet-Lab Techniques",Amazing academic environment with lots of opportunities.,https://linkedin.com/in/user_4508264,22,,
211SW00737,Nachiket Raval,Krish Malhotra,Amrita Virk,user737_mohankrishna@example.org,1069996278,1999-06-09,Other,234428359777,2016,Bachelor of Arts,Consultant,Chaudhuri-Deshmukh,Futures trader,Not Applicable,"Cloud Computing, Machine Learning, Search Engine Optimization",Amazing infrastructure though it was quite rigorous.,https://linkedin.com/in/user_3115189,27,,
211JNOE00738,Pallavi Yadav,Parth Kunda,Sachi Padmanabhan,user738_sathvikpai@example.org,3031458606,1993-10-27,Other,067823337661,2023,Bachelor of Design,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Rai, Saraf and Bath University","Blockchain, Machine Learning, Organic Synthesis",Good research facility which helped my career immensely.,https://linkedin.com/in/user_4412564,33,,
212BCOMC00739,Chakradhar Chander,Manthan Mann,Tamanna Chada,user739_sharmaupasna@example.net,1815601008,2001-11-21,Other,412706063389,2018,Bachelor of Business Administration,Career Break,Not Applicable,Not Applicable,Not Applicable,"Spectroscopic Analysis, SQL, Digital Marketing",Outstanding infrastructure overall a wonderful journey.,https://linkedin.com/in/user_2972982,25,,
212MST00740,Zinal Shah,Neel Borra,Yauvani Baria,user740_azadlad@example.com,4584323069,2000-11-24,Other,404370247781,2018,Bachelor of Arts,Apprenticeship,Goyal-Ganguly,Public relations account executive,Not Applicable,"Sales, Marketing, Communication",Incredible hands-on training with lots of opportunities.,https://linkedin.com/in/user_8126563,26,,
231ELCS00741,Gaurika Jayaraman,Abhiram Kalla,Bhavika Parmar,user741_chaudhrylogan@example.net,5639861095,1999-05-12,Female,261910870813,2016,Bachelor of Technology,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Guha, Saraf and Dara University","Communication, Cloud Computing, Power BI",Thorough research facility though it was quite rigorous.,https://linkedin.com/in/user_0265785,27,,
222HPS00742,Charita Kar,Darpan Apte,Gaurangi Gandhi,user742_janani00@example.com,1487242235,2002-08-24,Male,660334403256,2024,Bachelor of Arts,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Tak, Raman and Parekh University","Organic Synthesis, C++, Sales",Excellent academic environment with excellent industry exposure.,https://linkedin.com/in/user_7641981,24,,
232HSO00743,Meghana Banerjee,Wyatt Bajwa,Kritika Chaudhuri,user743_umang29@example.com,1061036323,1998-12-09,Male,471101879869,2014,Master of Technology,Employed Part-Time,"Bandi, Issac and Samra",Interior and spatial designer,Not Applicable,"Quality Assurance, Financial Modeling, SQL",Decent curriculum with lots of opportunities.,https://linkedin.com/in/user_8115733,28,,
222HSO00744,Bimala Thakur,Chaitanya Oak,Ijaya Sawhney,user744_deepadhar@example.org,1391794269,1994-03-04,Other,307229699350,2015,Bachelor of Dental Surgery,Freelancing,Self,Freelancing,Not Applicable,"Data Analysis, Financial Modeling, Machine Learning",Excellent infrastructure though it was quite rigorous.,https://linkedin.com/in/user_3585816,32,,
231BCAA00745,Samuel Ray,Kalpit Babu,Zinal Hari,user745_chamelibedi@example.com,4232154481,2003-07-26,Other,515374018681,2023,Master of Technology,Self-Employed,Self,Self-Employed,Not Applicable,"Organic Synthesis, Sales, Financial Modeling",Decent peer group making it worth the time.,https://linkedin.com/in/user_9041440,23,,
211CHBT00746,Manan Banerjee,Fitan Badal,Kashish Kothari,user746_ladnilima@example.net,9754837409,1990-12-19,Female,012761536066,2020,Bachelor of Technology,Self-Employed,Self,Self-Employed,Not Applicable,"Communication, Cloud Computing, Organic Synthesis",Incredible hands-on training with excellent industry exposure.,https://linkedin.com/in/user_2746709,36,,
231BCOMB00747,Xavier Batta,Amol Dugar,Janaki Gade,user747_qsani@example.com,9012020677,2001-11-20,Female,346782656818,2017,Bachelor of Design,Research Scholar,Not Applicable,Student / Scholar,"Kapur, Dora and Baral University","Financial Modeling, Communication, Data Analysis",Decent hands-on training with lots of opportunities.,https://linkedin.com/in/user_7311716,25,,
222ELCS00748,Ikbal Tella,Veer Mangat,Ira Soman,user748_sahniradhika@example.com,4685492916,2000-06-27,Other,618228016568,2018,Bachelor of Arts,Freelancing,Self,Freelancing,Not Applicable,"C++, Organic Synthesis, Blockchain",Excellent research facility though it was quite rigorous.,https://linkedin.com/in/user_0165681,26,,
212BCAA00749,Nachiket Ahluwalia,Jagdish Soman,Amaira Basak,user749_cdate@example.org,5436757964,1996-09-10,Male,675324119398,2020,Bachelor of Technology,Self-Employed,Self,Self-Employed,Not Applicable,"Data Analysis, Marketing, Financial Modeling",Incredible campus life with excellent industry exposure.,https://linkedin.com/in/user_7618896,30,,
212ECI00750,Brijesh Joshi,Nihal Dey,Jyoti Chad,user750_ayushmandube@example.org,7812099974,1990-04-28,Female,076264096761,2015,Master of Technology,Teaching Assistant,"Salvi, Sidhu and Basak","Therapist, occupational",Not Applicable,"Python, Cybersecurity, Java",Highly engaging learning experience - highly recommended!,https://linkedin.com/in/user_8535766,36,,
212ECPS00751,Arunima Parmar,Aarav Bajaj,Krisha Wali,user751_dyalisha@example.org,5423434046,2002-08-24,Male,516996160607,2016,Bachelor of Laws,Freelancing,Self,Freelancing,Not Applicable,"Search Engine Optimization, Blockchain, Organic Synthesis",Thorough academic environment with lots of opportunities.,https://linkedin.com/in/user_1154701,24,,
221BBAB00752,Gavin Baral,Benjamin Peri,Veda Upadhyay,user752_aadi37@example.com,5559148172,1994-06-18,Female,140785668133,2018,Bachelor of Science,Freelancing,Self,Freelancing,Not Applicable,"Project Management, Sales, Machine Learning",Decent faculty support with lots of opportunities.,https://linkedin.com/in/user_9865876,32,,
212BBAA00753,Shivani Prabhakar,Wyatt Gala,Ati Raja,user753_clad@example.com,3754045639,2001-09-25,Other,387060817855,2015,Master of Business Administration,Remote Worker,"Sangha, Issac and Trivedi",Microbiologist,Not Applicable,"Financial Modeling, C++, Agile Methodologies",Fantastic research facility and a great place to grow.,https://linkedin.com/in/user_6150718,25,,
212BCOMC00754,Michael Kala,Jeet Pau,Sneha Nayak,user754_fiyaz70@example.org,5709923980,1997-01-14,Male,788659823213,2020,Bachelor of Dental Surgery,Research Scholar,Not Applicable,Student / Scholar,Memon and Sons University,"Machine Learning, Financial Modeling, Python",Incredible learning experience but could be more modern.,https://linkedin.com/in/user_6075882,29,,
232PSCE00755,Leela Warrior,Finn Varghese,Anita Chakrabarti,user755_falak20@example.org,3889158322,1999-11-27,Male,089022448264,2017,Bachelor of Dental Surgery,Research Scholar,Not Applicable,Student / Scholar,"Pradhan, Dar and Saran University","Java, Financial Modeling, Cloud Computing",Excellent campus life which helped my career immensely.,https://linkedin.com/in/user_2298697,27,,
222BBAA00756,Priya Chander,Laksh Dada,Yashvi Kade,user756_nandaronith@example.com,2487683296,1999-01-20,Other,606129053907,2016,Bachelor of Science,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Chandran, Bal and Guha University","Cloud Computing, Organic Synthesis, Python",Amazing hands-on training making it worth the time.,https://linkedin.com/in/user_9940733,27,,
212BZ00757,Rachita Dyal,Hardik Bala,Hemangini Tiwari,user757_kavyakakar@example.com,6397535884,1994-02-16,Other,256869011139,2024,Bachelor of Social Work,Employed Full-Time,Pant Ltd,Occupational psychologist,Not Applicable,"Cybersecurity, Search Engine Optimization, Spectroscopic Analysis",Decent faculty support making it worth the time.,https://linkedin.com/in/user_7489314,32,,
211HSO00758,Madhavi Upadhyay,Krishna Saini,Lila Gopal,user758_zashil50@example.net,2774878915,1993-09-12,Male,338116633954,2014,Master of Technology,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Kamdar, Basak and Dhillon University","Communication, Financial Modeling, Wet-Lab Techniques",Excellent campus life and very supportive staff.,https://linkedin.com/in/user_7050754,33,,
211PM00759,Arunima Sankaran,Ethan Ramanathan,Ojasvi Wagle,user759_udyatichahal@example.org,3164242740,1998-01-20,Male,879167815684,2014,Bachelor of Design,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Varkey, Murthy and Gandhi University","Quality Assurance, Project Management, Sales",Fantastic peer group - highly recommended!,https://linkedin.com/in/user_7162866,28,,
221BCMB00760,Yashodhara Naik,Yatin Bansal,Raagini Kurian,user760_lsaran@example.com,3887076788,2004-12-13,Female,680534197739,2017,Bachelor of Design,Career Break,Not Applicable,Not Applicable,Not Applicable,"Power BI, Quality Assurance, Marketing",Decent placement record with lots of opportunities.,https://linkedin.com/in/user_7213009,22,,
232CST00761,Mekhala Keer,Harsh Bahl,Vrishti Mall,user761_advaywalia@example.org,8020786079,1996-11-10,Other,992060808637,2019,Master of Science,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Communication, Cybersecurity, Python",Thorough curriculum with excellent industry exposure.,https://linkedin.com/in/user_7718011,30,,
211SW00762,Devika Ravi,Ayaan D’Alia,Manya Ranganathan,user762_yashasvi41@example.com,0901302132,1994-04-28,Female,105194432976,2013,Bachelor of Fine Arts,Pursuing Ph.D.,Not Applicable,Student / Scholar,Boase PLC University,"Java, Search Engine Optimization, Data Analysis",Thorough learning experience but could be more modern.,https://linkedin.com/in/user_6871591,32,,
222HPS00763,Aachal Varghese,Qabil Mand,Vinaya Mishra,user763_rmallick@example.org,8660006982,1996-07-27,Male,303284613107,2020,Bachelor of Engineering,Teaching Assistant,Mander-Kade,Primary school teacher,Not Applicable,"Machine Learning, SQL, Graphic Design",Great learning experience and very supportive staff.,https://linkedin.com/in/user_9472247,30,,
221BPS00764,Siddharth Mahal,Abhiram Tara,Maya Bhargava,user764_nsidhu@example.org,9304362539,2004-05-21,Other,813064040590,2024,Master of Science,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Narayan, Sur and Das University","Cybersecurity, Marketing, Graphic Design",Good faculty support making it worth the time.,https://linkedin.com/in/user_1582501,22,,
221BTBY00765,Isaac Murthy,Darpan Karpe,Kavya Sharma,user765_tailorurvashi@example.net,6901798400,2004-03-18,Female,065928848255,2018,Bachelor of Arts,Career Break,Not Applicable,Not Applicable,Not Applicable,"Project Management, Data Analysis, Communication",Excellent learning experience with lots of opportunities.,https://linkedin.com/in/user_2986923,22,,
212CHBT00766,Urishilla Maharaj,Zashil Mohan,Upma Dhingra,user766_udyatinarayan@example.org,5636692320,1996-08-17,Female,668309994870,2019,Bachelor of Medicine and Bachelor of Surgery,Employed Full-Time,Apte LLC,Solicitor,Not Applicable,"Search Engine Optimization, Agile Methodologies, Machine Learning",Decent placement record but could be more modern.,https://linkedin.com/in/user_6173155,30,,
231ELCS00767,Daksha Dayal,Jackson Patla,Forum Mittal,user767_kamyaminhas@example.com,3287442518,1999-05-31,Female,128889648078,2023,Bachelor of Laws,Self-Employed,Self,Self-Employed,Not Applicable,"Agile Methodologies, Spectroscopic Analysis, Communication",Outstanding hands-on training with excellent industry exposure.,https://linkedin.com/in/user_8521763,27,,
211BPS00768,Balveer Kala,Umang Mohanty,Brinda Sarma,user768_jkari@example.org,5252537376,1994-03-05,Other,702493917356,2024,Bachelor of Technology,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Bahl, Savant and Ram University","Communication, Blockchain, Data Analysis",Outstanding hands-on training though it was quite rigorous.,https://linkedin.com/in/user_5809806,32,,
232JNOE00769,Aashi Dass,Luke Lata,Nilima Rajan,user769_meghana16@example.org,4333541360,1997-10-20,Female,925096329663,2023,Bachelor of Computer Applications,Freelancing,Self,Freelancing,Not Applicable,"Agile Methodologies, Wet-Lab Techniques, Digital Marketing",Fantastic peer group though it was quite rigorous.,https://linkedin.com/in/user_2740018,29,,
221BCOMB00770,Kashvi Lad,Owen Salvi,Rajata Sem,user770_fgulati@example.org,2977952209,1997-02-10,Female,441113014851,2020,Bachelor of Arts,CEO / Executive,"Garde, Baral and Kaur",CEO / Executive,Not Applicable,"SQL, Digital Marketing, Java",Fantastic learning experience making it worth the time.,https://linkedin.com/in/user_6875669,29,,
222SW00771,Hitesh Bakshi,Samar Kapoor,Jasmit Bajwa,user771_gabasathvik@example.net,5165100987,1993-08-02,Male,025114407729,2014,Master of Arts,Internship,Varghese Ltd,Furniture designer,Not Applicable,"Power BI, Machine Learning, Marketing",Decent academic environment and very supportive staff.,https://linkedin.com/in/user_6183617,33,,
222HPS00772,Omisha Vora,Pranit Kar,Lavanya Lanka,user772_cram@example.org,4452687178,1997-05-06,Male,277779364644,2021,Master of Computer Applications,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Dube, Borde and Sama University","Quality Assurance, Java, Cloud Computing",Incredible academic environment making it worth the time.,https://linkedin.com/in/user_0275264,29,,
232CHZ00773,Anmol Sankar,Harish Manda,Edhitha Mandal,user773_thakurchristopher@example.com,1338165144,1990-08-26,Male,303444529381,2019,Bachelor of Arts,CEO / Executive,Ray-Cheema,CEO / Executive,Not Applicable,"Sales, Cloud Computing, Java",Good curriculum but could be more modern.,https://linkedin.com/in/user_8434223,36,,
221PSCE00774,Gautami Shanker,Advaith Misra,Keya Setty,user774_mitternicholas@example.org,5443213280,2002-02-23,Other,283632650874,2016,Bachelor of Engineering,Employed Part-Time,"Bakshi, Dalal and Khatri",Advertising art director,Not Applicable,"Marketing, Communication, Digital Marketing",Incredible curriculum with lots of opportunities.,https://linkedin.com/in/user_4010055,24,,
211MCS00775,Aarnav Panchal,Chakradev Barad,Edhitha Bajaj,user775_aayushbabu@example.com,8133087446,1991-08-19,Male,681615256955,2016,Bachelor of Commerce,Postdoctoral Researcher,Not Applicable,Student / Scholar,"Sharaf, Dugal and Virk University","SQL, Blockchain, Cloud Computing",Fantastic hands-on training but could be more modern.,https://linkedin.com/in/user_5385929,35,,
232BBAA00776,Gabriel Dasgupta,Azad Manda,Advika Cheema,user776_kandasamesh@example.com,1823448719,1991-12-14,Other,115944768305,2014,Bachelor of Laws,Research Scholar,Not Applicable,Student / Scholar,"Uppal, Sule and Dey University","Digital Marketing, Cloud Computing, Organic Synthesis",Decent peer group though it was quite rigorous.,https://linkedin.com/in/user_6325972,35,,
231INPP00777,Champak Purohit,Nihal Gupta,Zaitra Sastry,user777_tzachariah@example.org,4606596456,1991-02-26,Female,734444025508,2023,Master of Arts,Startup Founder,"Oza, Bhatt and Mani",Startup Founder,Not Applicable,"Communication, Cloud Computing, Blockchain",Great research facility and a great place to grow.,https://linkedin.com/in/user_8718946,35,,
212ECI00778,Kalpit Sur,Rishi Kohli,Qushi Anand,user778_timothy75@example.com,8817442473,2002-03-29,Other,642842910363,2022,Master of Business Administration,Pursuing Ph.D.,Not Applicable,Student / Scholar,Halder Group University,"Sales, Marketing, Agile Methodologies",Thorough research facility with excellent industry exposure.,https://linkedin.com/in/user_2144092,24,,
232ECI00779,Lavanya Sur,Imaran Patla,Anika Bhakta,user779_gagankota@example.org,9141287244,2003-03-18,Male,918263347305,2017,Bachelor of Social Work,Apprenticeship,Peri and Sons,Chief of Staff,Not Applicable,"Machine Learning, Digital Marketing, Agile Methodologies",Highly engaging hands-on training overall a wonderful journey.,https://linkedin.com/in/user_0802304,23,,
232MCS00780,Jagdish Borde,Orinder Keer,Kashvi Bajwa,user780_harshsem@example.org,2924551575,1998-12-08,Female,378961734266,2020,Bachelor of Technology,Career Break,Not Applicable,Not Applicable,Not Applicable,"Power BI, Wet-Lab Techniques, Data Analysis",Outstanding peer group - highly recommended!,https://linkedin.com/in/user_4654327,28,,
231MCS00781,Deepa Bora,Parth More,Ubika Thakkar,user781_warinder29@example.net,6138402771,1993-07-09,Male,465478109488,2018,Bachelor of Science,Self-Employed,Self,Self-Employed,Not Applicable,"Power BI, Python, Search Engine Optimization",Good faculty support and a great place to grow.,https://linkedin.com/in/user_7983291,33,,
221CHBT00782,Panini Sidhu,Ishwar Sampath,Mekhala Ram,user782_rajupkaar@example.net,2696290420,2003-06-21,Female,923913778949,2019,Bachelor of Design,Pursuing Ph.D.,Not Applicable,Student / Scholar,"Pall, Sarkar and Chadha University","Cloud Computing, Financial Modeling, Spectroscopic Analysis",Fantastic campus life and very supportive staff.,https://linkedin.com/in/user_4811184,23,,
221BCAA00783,Ridhi Chopra,Elijah Chhabra,Neelima Sha,user783_twable@example.com,4702189285,1990-06-07,Male,218454216755,2021,Bachelor of Pharmacy,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Maharaj, Dewan and Chopra University","Search Engine Optimization, Agile Methodologies, Sales",Good learning experience - highly recommended!,https://linkedin.com/in/user_6882308,36,,
221BBASF00784,Chakradev Lalla,Tarak Warrior,Chanchal Sura,user784_garima85@example.net,3530174360,1998-07-21,Male,969054585327,2022,Master of Arts,CEO / Executive,Sundaram and Sons,CEO / Executive,Not Applicable,"Python, Marketing, Quality Assurance",Incredible learning experience and very supportive staff.,https://linkedin.com/in/user_9804969,28,,
221BCMB00785,Kavya Kohli,Chanakya Merchant,Nirja Hora,user785_kbalay@example.com,8964297522,2000-03-16,Female,195422032799,2015,Bachelor of Technology,Postdoctoral Researcher,Not Applicable,Student / Scholar,"Sekhon, Thaman and Singhal University","Spectroscopic Analysis, Power BI, Agile Methodologies",Highly engaging learning experience overall a wonderful journey.,https://linkedin.com/in/user_8100449,26,,
221IFA00786,Ayushman Maharaj,Mason Sami,Anvi Lall,user786_parsarehaan@example.com,1021009878,1996-09-08,Other,935733655199,2013,Master of Arts,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Digital Marketing, Power BI, Financial Modeling",Excellent curriculum but could be more modern.,https://linkedin.com/in/user_4955667,30,,
232IFA00787,Rajeshri Tripathi,Kiaan Bhavsar,Harini Tella,user787_mugdhabera@example.net,9629626497,1991-09-09,Male,742236803238,2015,Bachelor of Dental Surgery,Career Break,Not Applicable,Not Applicable,Not Applicable,"Cloud Computing, Digital Marketing, Machine Learning",Good learning experience overall a wonderful journey.,https://linkedin.com/in/user_0779325,35,,
212SW00788,Idika Handa,Manthan Kapur,Waida Dhillon,user788_rattanwatika@example.net,3582920314,2001-04-18,Female,681149368305,2021,Bachelor of Pharmacy,Pursuing Ph.D.,Not Applicable,Student / Scholar,Palan Ltd University,"Python, Power BI, Machine Learning",Outstanding infrastructure though it was quite rigorous.,https://linkedin.com/in/user_1496109,25,,
212BCOMC00789,Gauri Randhawa,Andrew Dutt,Charvi Kumar,user789_panini01@example.org,3000413156,1991-10-20,Male,095869707563,2025,Bachelor of Medicine and Bachelor of Surgery,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Borah, Bawa and Padmanabhan University","Power BI, Financial Modeling, Data Analysis",Excellent academic environment with excellent industry exposure.,https://linkedin.com/in/user_6324972,35,,
221JPY00790,Vedant Madan,Farhan Sharaf,Charita Sabharwal,user790_meghana59@example.com,6193432299,2000-10-17,Female,817594219832,2023,Bachelor of Science,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Hegde, Mannan and Nori University","Blockchain, Machine Learning, Python",Good campus life - highly recommended!,https://linkedin.com/in/user_6053052,26,,
211JNOE00791,Pooja Sama,Warinder Raj,Nidra Oza,user791_anya30@example.net,9160356536,1996-05-15,Male,084027723437,2016,Master of Technology,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Spectroscopic Analysis, Blockchain, Machine Learning",Fantastic campus life making it worth the time.,https://linkedin.com/in/user_2483520,30,,
212BCOMB00792,Sanya Bhatt,Shaurya Dhillon,Zarna Loyal,user792_chasmumsehgal@example.org,8160482204,2001-07-18,Male,548222722869,2021,Master of Science,Apprenticeship,Koshy-Kaul,Careers adviser,Not Applicable,"Financial Modeling, SQL, Cybersecurity",Highly engaging curriculum though it was quite rigorous.,https://linkedin.com/in/user_0201870,25,,
221ELCS00793,Ekbal Dua,Dhruv Luthra,Tanmayi Dalal,user793_harsh19@example.org,2190588350,2003-07-18,Other,543723244633,2013,Bachelor of Social Work,Self-Employed,Self,Self-Employed,Not Applicable,"Data Analysis, Spectroscopic Analysis, Power BI",Amazing academic environment with excellent industry exposure.,https://linkedin.com/in/user_8755224,23,,
231HPS00794,Xiti Agrawal,Abhimanyu Memon,Dayamai Mane,user794_krishzinal@example.com,5796459128,2003-01-15,Other,227110971475,2022,Bachelor of Engineering,Career Break,Not Applicable,Not Applicable,Not Applicable,"Graphic Design, Blockchain, Data Analysis",Great academic environment overall a wonderful journey.,https://linkedin.com/in/user_3146893,23,,
222PM00795,Kritika Dora,Qarin Varkey,Vaishnavi Nigam,user795_xpadmanabhan@example.com,1951294671,1992-10-03,Male,728054843579,2018,Bachelor of Technology,Pursuing Ph.D.,Not Applicable,Student / Scholar,Datta Group University,"Project Management, Java, Machine Learning",Great hands-on training making it worth the time.,https://linkedin.com/in/user_6568469,34,,
